web-scraper-order,address_raw,lat,lon,id,brand,geometry,closest_sup_geom,distance
1662023777-1070,"Zürichstr. 106, 8910 Affoltern am Albis, ZH",47.27918243408203,8.45419692993164,317283183,Volg,POINT (8.45419692993164 47.27918243408203),POINT (8.4636498 47.2439416),4015.9690257492125
1662023745-824,"Oberdorfstrasse 4, 8910 Affoltern am Albis, ZH",47.27767562866211,8.453544616699219,317283183,Volg,POINT (8.453544616699219 47.27767562866211),POINT (8.4636498 47.2439416),3876.6656625112264
1662023711-573,"Spranglenstr. 32, 8303 Bassersdorf, ZH",47.444427490234375,8.618995666503906,656346712,Volg,POINT (8.618995666503906 47.444427490234375),POINT (8.6397394 47.464202),3169.60268810089
1662023742-793,"8303 Bassersdorf, ZH",47.43027877807617,8.638310432434082,411085512,Volg,POINT (8.638310432434082 47.43027877807617),POINT (8.6490187 47.4465768),2151.2494251849685
1662023701-481,"Spranglenstr. 34, 8303 Bassersdorf, ZH",47.44435119628906,8.61848258972168,656346712,Volg,POINT (8.61848258972168 47.44435119628906),POINT (8.6397394 47.464202),3217.0437325708144
1662023745-840,"8303 Bassersdorf, ZH",47.43027877807617,8.638310432434082,411085512,Volg,POINT (8.638310432434082 47.43027877807617),POINT (8.6490187 47.4465768),2151.2494251849685
1662023714-583,"8312 Winterberg ZH, ZH",47.45626449584961,8.69238567352295,7229823378,Volg,POINT (8.69238567352295 47.45626449584961),POINT (8.6751059 47.4725056),2622.7658822004955
1662023736-768,"Hofwisenstr. 2, 8317 Tagelswangen, ZH",47.43009185791016,8.669851303100586,411085512,Volg,POINT (8.669851303100586 47.43009185791016),POINT (8.6490187 47.4465768),2941.080372520635
1662023742-814,"Huebstrasse 21, 8317 Tagelswangen, ZH",47.43145751953125,8.675027847290039,411085512,Volg,POINT (8.675027847290039 47.43145751953125),POINT (8.6490187 47.4465768),3335.631762642136
1662023689-392,"8933 Maschwanden, ZH",47.23451232910156,8.422947883605957,475366082,Volg,POINT (8.422947883605957 47.23451232910156),POINT (8.4612376 47.2233658),4430.625471738947
1662023810-1339,"Unterdorfstrasse 3, 8933 Maschwanden, ZH",47.23373794555664,8.423295021057129,475366082,Volg,POINT (8.423295021057129 47.23373794555664),POINT (8.4612376 47.2233658),4370.543273678253
1662023714-582,"Unterdorfstrasse 3, 8933 Maschwanden, ZH",47.23373794555664,8.423295021057129,475366082,Volg,POINT (8.423295021057129 47.23373794555664),POINT (8.4612376 47.2233658),4370.543273678253
1662023813-1362,"Kirchgasse 2, 8353 Elgg, ZH",47.48947143554688,8.8677339553833,838559192,Volg,POINT (8.8677339553833 47.48947143554688),POINT (8.9037262 47.4886446),4003.1857202542546
1662023810-1324,"Bahnhofstr. 6, 8353 Elgg, ZH",47.497188568115234,8.8644437789917,838559192,Volg,POINT (8.8644437789917 47.497188568115234),POINT (8.9037262 47.4886446),4467.721545028163
1662023733-743,"Badenerstrasse 110, 8952 Schlieren, ZH",47.39788436889648,8.431954383850098,3626567398,ALDI,POINT (8.431954383850098 47.39788436889648),POINT (8.4415788 47.4001072),1097.7592310253713
1662023783-1111,"Dörnliackerstrasse 3, 8952 Schlieren, ZH",47.395267486572266,8.439332962036133,3626567398,ALDI,POINT (8.439332962036133 47.395267486572266),POINT (8.4415788 47.4001072),587.9885721866416
1662023739-770,"Badenerstrasse 110, 8952 Schlieren, ZH",47.39788436889648,8.431954383850098,3626567398,ALDI,POINT (8.431954383850098 47.39788436889648),POINT (8.4415788 47.4001072),1097.7592310253713
1662023798-1228,"Goldschlägistrasse 12, 8952 Schlieren, ZH",47.39844512939453,8.43955135345459,3626567398,ALDI,POINT (8.43955135345459 47.39844512939453),POINT (8.4415788 47.4001072),290.2485705244918
